top,part,target_clock_ns,estimated_clock_ns,avg_cycles,worst_cycles,worst_time,bram18,dsp,ff,lut
spmv_burst_s1,xc7k70t-fbg484-1,10.0,7.3,128021,1011026,10.110 ms,19,3,5053,5925
spmv_burst_s2,xc7k70t-fbg484-1,10.0,7.3,128271,2017026,20.170 ms,21,3,5232,6196
spmv_burst_s3,xc7k70t-fbg484-1,10.0,7.3,128271,1012026,10.120 ms,29,12,5729,6742
spmv_burst_s4,xc7k70t-fbg484-1,10.0,7.3,256528,1013028,10.130 ms,52,24,6503,9235
spmv_burst_s4_rows16,xc7k70t-fbg484-1,10.0,7.3,149,747,7.470 us,10,12,7250,7855
spmv_burst_s4_rows25,xc7k70t-fbg484-1,10.0,7.3,326,1940,19.400 us,10,12,7258,7888
spmv_burst_s4_rows50,xc7k70t-fbg484-1,10.0,7.3,1010,7054,70.540 us,17,12,7050,7842
spmv_stream_s1,xc7k70t-fbg484-1,10.0,6.58,256519,1014022,10.140 ms,9,3,840,1724
spmv_stream_s2,xc7k70t-fbg484-1,10.0,6.58,256519,2019022,20.190 ms,11,3,1018,2020
spmv_stream_s3,xc7k70t-fbg484-1,10.0,7.225,257019,1015022,10.150 ms,19,12,1516,2557
spmv_stream_s4,xc7k70t-fbg484-1,10.0,7.211,257522,1016025,10.160 ms,42,24,2378,4982
spmv_stream_s4_rows16,xc7k70t-fbg484-1,10.0,6.58,277,825,8.250 us,0,12,3101,3686
spmv_stream_s4_rows25,xc7k70t-fbg484-1,10.0,6.58,636,2076,20.760 us,0,12,3142,3718
spmv_stream_s4_rows50,xc7k70t-fbg484-1,10.0,7.263,1984,7279,72.790 us,7,12,2900,3670
